name,origin,style,since
Truckfighters,,,
Tsjuder,,,
Turbonegro,,,
Turisas,,,
Turnstile,,,
Twisted Sister,,,
Twitching Tongues,,,
Type O Negative,,,
T?r,,,
U.D.O.,,,
U.S. Bombs,,,
UFO,,,
Ufomammut,,,
Ufych Sormeer,,,
UK Subs,,,
Ulcerate,,,
Ultra Vomit,,,
Ulver,,,
Uncle Acid +ACY- the Deadbeats,,,
Undead Prophecies,,,
Unearth,,,
Unexpect,,,
Unida,,,
Unisonic,,,
Unleashed,,,
Unsane,,,
Urfaust,,,
Urgehal,,,
Uriah Heep,,,
Vader,,,
Valient Thorr,,,
Vallenfyre,,,
Vanderbuyst,,,
Vektor,US,Trash metal,2002
Venom,GB,Heavy metal,1979
Vera Cruz,,,
Victims,SE,Hardcore punk,1997
Vintage Trouble,US,Blues rock,2010
Vision of Disorder,US,Hardcore punk,1992
Vitamin X,NL,Hardcore punk,1997
Voivod,CA,Progressive metal,1982
Volbeat,DK,Heavy metal,2001
Vomitory,SE,Death metal,1989
Vorkreist,FR,Death metal,1999
Vreid Sognametal,,,
Vulcain,FR,Hard rock,1981
Vulture Industries,,,
W.A.S.P.,US,Heavy metal,1982
Walking Papers,US,Blues rock,2012
Walls of Jericho,US,Metalcore,1998
Waltari,FI,Alternative metal,1986
Wampas,FR,Punk rock,1983
Watain,SE,Black metal,1998
Watertank,,,
We Are Harlot,US,Hard rock,2001
We Came as Romans,US,Metalcore,2005
Weedeater,US,Stoner metal,1998
Weekend Nachos,US,Hardcore punk,2004
Whiplash,US,Trash metal,1984
Whitesnake,GB,Hard rock,1978
Winterfylleth ,GB,Black metal,2007
Wintersun,FI,Melodic death metal,2003
Wisdom in Chains ,,,
Witch Mountain,US,Doom metal,1997
Witchcraft,SE,Stoner rock,2000
Witches,,,
Witchthroat Serpent,,,
With Honor,,,
With the Dead,,,
Within Temptation,NL,Symphonic metal,1995
Wo Fat,,,
+ADwAPAA8ADwAPAA8ADw- HEAD,,,
Wolfbrigade,,,
Wolves in the Throne Room,,,
Wovenhand,,,
Y+ACY-T,,,
Yawning Man,,,
Year Of No Light,,,
Err:510,,,
Wolfbrigade,SE,Hardcore punk,1995
Wolves in the Throne Room,US,Atmospheric black metal,2003
Wovenhand,US,Alternative country,2001
Y+ACY-T,US,Heavy metal,1974
Yawning Man,US,Stoner rock,1986
Year Of No Light,FR,Post metal,2001
+AD4APgA+AD4APgA+AD4- ae5bd35977a422fa18ebbc4449f43c0248368a2c,,,
Year of the Goat,,,
Yob ,US,Doom metal,1996
Your Demise ,GB,Hardcore punk,2003
Zero Mentality,,,
Zodiac,,,
Zubrowska,,,
Zuul FX,,,
Zyklon,NO,Black metal,1995
ZZ Top,US,Blues rock,1969
